Frequency, Hz	Amplitude, Volts
1.419400000E+9	3.660710000E-5
1.419403333E+9	3.467258000E-5
1.419406667E+9	3.566822000E-5
1.419410000E+9	3.608094000E-5
1.419413333E+9	3.616122000E-5
1.419416667E+9	3.669330000E-5
1.419420000E+9	3.566199000E-5
1.419423333E+9	3.623335000E-5
1.419426667E+9	3.580258000E-5
1.419430000E+9	3.678990000E-5
1.419433333E+9	3.606283000E-5
1.419436667E+9	3.634898000E-5
1.419440000E+9	3.605067000E-5
1.419443333E+9	4.428398000E-5
1.419446667E+9	4.075557000E-5
1.419450000E+9	3.763133000E-5
1.419453333E+9	3.830744000E-5
1.419456667E+9	3.602143000E-5
1.419460000E+9	3.555867000E-5
1.419463333E+9	3.649231000E-5
1.419466667E+9	3.600520000E-5
1.419470000E+9	3.502924000E-5
1.419473333E+9	3.638073000E-5
1.419476667E+9	3.510779000E-5
1.419480000E+9	3.612525000E-5
1.419483333E+9	3.660867000E-5
1.419486667E+9	3.669428000E-5
1.419490000E+9	3.602615000E-5
1.419493333E+9	3.481237000E-5
1.419496667E+9	3.572046000E-5
1.419500000E+9	3.568901000E-5
1.419503333E+9	3.577186000E-5
1.419506667E+9	3.553481000E-5
1.419510000E+9	3.548599000E-5
1.419513333E+9	3.520662000E-5
1.419516667E+9	3.578817000E-5
1.419520000E+9	3.588186000E-5
1.419523333E+9	3.569970000E-5
1.419526667E+9	3.493445000E-5
1.419530000E+9	3.551234000E-5
1.419533333E+9	3.566478000E-5
1.419536667E+9	3.590355000E-5
1.419540000E+9	3.575781000E-5
1.419543333E+9	3.467534000E-5
1.419546667E+9	3.642356000E-5
1.419550000E+9	3.525896000E-5
1.419553333E+9	3.605182000E-5
1.419556667E+9	3.495329000E-5
1.419560000E+9	3.591644000E-5
1.419563333E+9	3.585640000E-5
1.419566667E+9	3.456949000E-5
1.419570000E+9	3.589067000E-5
1.419573333E+9	3.558095000E-5
1.419576667E+9	3.586378000E-5
1.419580000E+9	3.626448000E-5
1.419583333E+9	3.535405000E-5
1.419586667E+9	3.559435000E-5
1.419590000E+9	3.560509000E-5
1.419593333E+9	3.502286000E-5
1.419596667E+9	3.473645000E-5
1.419600000E+9	3.432848000E-5
1.419603333E+9	3.574074000E-5
1.419606667E+9	3.487619000E-5
1.419610000E+9	3.454352000E-5
1.419613333E+9	3.633881000E-5
1.419616667E+9	3.522586000E-5
1.419620000E+9	3.524476000E-5
1.419623333E+9	3.524222000E-5
1.419626667E+9	3.702234000E-5
1.419630000E+9	3.433421000E-5
1.419633333E+9	3.516711000E-5
1.419636667E+9	3.566456000E-5
1.419640000E+9	3.553715000E-5
1.419643333E+9	3.526453000E-5
1.419646667E+9	3.441544000E-5
1.419650000E+9	3.477203000E-5
1.419653333E+9	3.568164000E-5
1.419656667E+9	3.439064000E-5
1.419660000E+9	3.581779000E-5
1.419663333E+9	3.619812000E-5
1.419666667E+9	3.552436000E-5
1.419670000E+9	3.519223000E-5
1.419673333E+9	3.601454000E-5
1.419676667E+9	3.589800000E-5
1.419680000E+9	3.531459000E-5
1.419683333E+9	3.501067000E-5
1.419686667E+9	3.522821000E-5
1.419690000E+9	3.633286000E-5
1.419693333E+9	3.501670000E-5
1.419696667E+9	3.565888000E-5
1.419700000E+9	3.507624000E-5
1.419703333E+9	3.499682000E-5
1.419706667E+9	3.551646000E-5
1.419710000E+9	3.619249000E-5
1.419713333E+9	3.510707000E-5
1.419716667E+9	3.581178000E-5
1.419720000E+9	3.648643000E-5
1.419723333E+9	3.764157000E-5
1.419726667E+9	3.547548000E-5
1.419730000E+9	3.623055000E-5
1.419733333E+9	3.658248000E-5
1.419736667E+9	4.501250000E-5
1.419740000E+9	4.040018000E-5
1.419743333E+9	3.799864000E-5
1.419746667E+9	3.978440000E-5
1.419750000E+9	3.510211000E-5
1.419753333E+9	3.647220000E-5
1.419756667E+9	3.494185000E-5
1.419760000E+9	3.502741000E-5
1.419763333E+9	3.551527000E-5
1.419766667E+9	3.632088000E-5
1.419770000E+9	3.555969000E-5
1.419773333E+9	3.603180000E-5
1.419776667E+9	3.567497000E-5
1.419780000E+9	3.594712000E-5
1.419783333E+9	3.572156000E-5
1.419786667E+9	3.431369000E-5
1.419790000E+9	3.646555000E-5
1.419793333E+9	3.659903000E-5
1.419796667E+9	3.502047000E-5
1.419800000E+9	3.674928000E-5
1.419803333E+9	3.483303000E-5
1.419806667E+9	3.593562000E-5
1.419810000E+9	3.460294000E-5
1.419813333E+9	3.660640000E-5
1.419816667E+9	3.657014000E-5
1.419820000E+9	3.565272000E-5
1.419823333E+9	3.484273000E-5
1.419826667E+9	3.559253000E-5
1.419830000E+9	3.641196000E-5
1.419833333E+9	3.513408000E-5
1.419836667E+9	3.586249000E-5
1.419840000E+9	3.460319000E-5
1.419843333E+9	3.592945000E-5
1.419846667E+9	3.651606000E-5
1.419850000E+9	3.679113000E-5
1.419853333E+9	3.599056000E-5
1.419856667E+9	3.647709000E-5
1.419860000E+9	3.574247000E-5
1.419863333E+9	3.529592000E-5
1.419866667E+9	3.461434000E-5
1.419870000E+9	3.569650000E-5
1.419873333E+9	3.569385000E-5
1.419876667E+9	3.654660000E-5
1.419880000E+9	3.677757000E-5
1.419883333E+9	3.606817000E-5
1.419886667E+9	3.556890000E-5
1.419890000E+9	3.633716000E-5
1.419893333E+9	3.604735000E-5
1.419896667E+9	3.620861000E-5
1.419900000E+9	3.547826000E-5
1.419903333E+9	3.499537000E-5
1.419906667E+9	3.576205000E-5
1.419910000E+9	3.550743000E-5
1.419913333E+9	3.703978000E-5
1.419916667E+9	3.485867000E-5
1.419920000E+9	3.504460000E-5
1.419923333E+9	3.498057000E-5
1.419926667E+9	3.576899000E-5
1.419930000E+9	3.582079000E-5
1.419933333E+9	3.649823000E-5
1.419936667E+9	3.529081000E-5
1.419940000E+9	3.605314000E-5
1.419943333E+9	3.498432000E-5
1.419946667E+9	3.522371000E-5
1.419950000E+9	3.615325000E-5
1.419953333E+9	3.568258000E-5
1.419956667E+9	3.660132000E-5
1.419960000E+9	3.613198000E-5
1.419963333E+9	3.553343000E-5
1.419966667E+9	3.614894000E-5
1.419970000E+9	3.590077000E-5
1.419973333E+9	3.653978000E-5
1.419976667E+9	3.515139000E-5
1.419980000E+9	3.568875000E-5
1.419983333E+9	3.545353000E-5
1.419986667E+9	3.493412000E-5
1.419990000E+9	3.479885000E-5
1.419993333E+9	3.550651000E-5
1.419996667E+9	3.563612000E-5
1.420000000E+9	3.660130000E-5
1.420003333E+9	3.577926000E-5
1.420006667E+9	3.582156000E-5
1.420010000E+9	3.538070000E-5
1.420013333E+9	3.502501000E-5
1.420016667E+9	3.664541000E-5
1.420020000E+9	3.562927000E-5
1.420023333E+9	3.477902000E-5
1.420026667E+9	3.720163000E-5
1.420030000E+9	4.235332000E-5
1.420033333E+9	3.943827000E-5
1.420036667E+9	3.682200000E-5
1.420040000E+9	3.795229000E-5
1.420043333E+9	3.491454000E-5
1.420046667E+9	3.611603000E-5
1.420050000E+9	3.698215000E-5
1.420053333E+9	3.651118000E-5
1.420056667E+9	3.622137000E-5
1.420060000E+9	3.490191000E-5
1.420063333E+9	3.564553000E-5
1.420066667E+9	3.584119000E-5
1.420070000E+9	3.657552000E-5
1.420073333E+9	3.457414000E-5
1.420076667E+9	3.495196000E-5
1.420080000E+9	3.588779000E-5
1.420083333E+9	3.379824000E-5
1.420086667E+9	3.578023000E-5
1.420090000E+9	3.553369000E-5
1.420093333E+9	3.593697000E-5
1.420096667E+9	3.556409000E-5
1.420100000E+9	3.563007000E-5
1.420103333E+9	3.501483000E-5
1.420106667E+9	3.505162000E-5
1.420110000E+9	3.455750000E-5
1.420113333E+9	3.535049000E-5
1.420116667E+9	3.528999000E-5
1.420120000E+9	3.591393000E-5
1.420123333E+9	3.485132000E-5
1.420126667E+9	3.476008000E-5
1.420130000E+9	3.532207000E-5
1.420133333E+9	3.561129000E-5
1.420136667E+9	3.508546000E-5
1.420140000E+9	3.565020000E-5
1.420143333E+9	3.538576000E-5
1.420146667E+9	3.568087000E-5
1.420150000E+9	3.536297000E-5
1.420153333E+9	3.534568000E-5
1.420156667E+9	3.598530000E-5
1.420160000E+9	3.640606000E-5
1.420163333E+9	3.481839000E-5
1.420166667E+9	3.578540000E-5
1.420170000E+9	3.593478000E-5
1.420173333E+9	3.517528000E-5
1.420176667E+9	3.514538000E-5
1.420180000E+9	3.651440000E-5
1.420183333E+9	3.669946000E-5
1.420186667E+9	3.617948000E-5
1.420190000E+9	3.609580000E-5
1.420193333E+9	3.501805000E-5
1.420196667E+9	3.539868000E-5
1.420200000E+9	3.616523000E-5
1.420203333E+9	3.544461000E-5
1.420206667E+9	3.690201000E-5
1.420210000E+9	3.497009000E-5
1.420213333E+9	3.559850000E-5
1.420216667E+9	3.555361000E-5
