Frequency, Hz	Amplitude, Volts
1.419400000E+9	4.254073000E-5
1.419403333E+9	4.240332000E-5
1.419406667E+9	4.223207000E-5
1.419410000E+9	4.044191000E-5
1.419413333E+9	4.183421000E-5
1.419416667E+9	4.240328000E-5
1.419420000E+9	4.045651000E-5
1.419423333E+9	4.238328000E-5
1.419426667E+9	4.316958000E-5
1.419430000E+9	4.109328000E-5
1.419433333E+9	4.275861000E-5
1.419436667E+9	4.098910000E-5
1.419440000E+9	4.258606000E-5
1.419443333E+9	4.421889000E-5
1.419446667E+9	4.575316000E-5
1.419450000E+9	4.547205000E-5
1.419453333E+9	4.562418000E-5
1.419456667E+9	4.102014000E-5
1.419460000E+9	4.291981000E-5
1.419463333E+9	4.296204000E-5
1.419466667E+9	4.232527000E-5
1.419470000E+9	4.119506000E-5
1.419473333E+9	4.120584000E-5
1.419476667E+9	4.240992000E-5
1.419480000E+9	4.139153000E-5
1.419483333E+9	4.072756000E-5
1.419486667E+9	4.082693000E-5
1.419490000E+9	4.170573000E-5
1.419493333E+9	4.222464000E-5
1.419496667E+9	4.269565000E-5
1.419500000E+9	4.207738000E-5
1.419503333E+9	4.238410000E-5
1.419506667E+9	4.139298000E-5
1.419510000E+9	4.089816000E-5
1.419513333E+9	4.111353000E-5
1.419516667E+9	4.205328000E-5
1.419520000E+9	4.239277000E-5
1.419523333E+9	4.129756000E-5
1.419526667E+9	3.948269000E-5
1.419530000E+9	4.236765000E-5
1.419533333E+9	4.011442000E-5
1.419536667E+9	4.102519000E-5
1.419540000E+9	3.980799000E-5
1.419543333E+9	4.140802000E-5
1.419546667E+9	4.214332000E-5
1.419550000E+9	4.125209000E-5
1.419553333E+9	4.049413000E-5
1.419556667E+9	4.074795000E-5
1.419560000E+9	4.074482000E-5
1.419563333E+9	4.084320000E-5
1.419566667E+9	4.099053000E-5
1.419570000E+9	4.137770000E-5
1.419573333E+9	4.078718000E-5
1.419576667E+9	4.053488000E-5
1.419580000E+9	4.124988000E-5
1.419583333E+9	4.155451000E-5
1.419586667E+9	4.166205000E-5
1.419590000E+9	4.145579000E-5
1.419593333E+9	4.145037000E-5
1.419596667E+9	4.217188000E-5
1.419600000E+9	4.084416000E-5
1.419603333E+9	4.263436000E-5
1.419606667E+9	4.185891000E-5
1.419610000E+9	4.084026000E-5
1.419613333E+9	4.338782000E-5
1.419616667E+9	4.322298000E-5
1.419620000E+9	4.277621000E-5
1.419623333E+9	4.268273000E-5
1.419626667E+9	4.122216000E-5
1.419630000E+9	4.061689000E-5
1.419633333E+9	4.105725000E-5
1.419636667E+9	4.202351000E-5
1.419640000E+9	4.211446000E-5
1.419643333E+9	4.224430000E-5
1.419646667E+9	4.136822000E-5
1.419650000E+9	4.145135000E-5
1.419653333E+9	4.284642000E-5
1.419656667E+9	4.274393000E-5
1.419660000E+9	4.032964000E-5
1.419663333E+9	4.159236000E-5
1.419666667E+9	4.174481000E-5
1.419670000E+9	4.083093000E-5
1.419673333E+9	4.117058000E-5
1.419676667E+9	3.914088000E-5
1.419680000E+9	4.325994000E-5
1.419683333E+9	4.200676000E-5
1.419686667E+9	4.254052000E-5
1.419690000E+9	3.986343000E-5
1.419693333E+9	4.024110000E-5
1.419696667E+9	4.031724000E-5
1.419700000E+9	4.026986000E-5
1.419703333E+9	4.101050000E-5
1.419706667E+9	4.041602000E-5
1.419710000E+9	4.110420000E-5
1.419713333E+9	4.099028000E-5
1.419716667E+9	4.114113000E-5
1.419720000E+9	4.200812000E-5
1.419723333E+9	4.195779000E-5
1.419726667E+9	4.091177000E-5
1.419730000E+9	4.161975000E-5
1.419733333E+9	4.231576000E-5
1.419736667E+9	4.678999000E-5
1.419740000E+9	4.603369000E-5
1.419743333E+9	4.257177000E-5
1.419746667E+9	4.555976000E-5
1.419750000E+9	4.239202000E-5
1.419753333E+9	4.206107000E-5
1.419756667E+9	4.075718000E-5
1.419760000E+9	3.899492000E-5
1.419763333E+9	4.320361000E-5
1.419766667E+9	4.158834000E-5
1.419770000E+9	4.198598000E-5
1.419773333E+9	4.195018000E-5
1.419776667E+9	4.112650000E-5
1.419780000E+9	4.113299000E-5
