Frequency, Hz	Amplitude, Volts
1.419400000E+9	2.884897000E-5
1.419403333E+9	2.733905000E-5
1.419406667E+9	2.850634000E-5
1.419410000E+9	2.845530000E-5
1.419413333E+9	2.898579000E-5
1.419416667E+9	2.836296000E-5
1.419420000E+9	2.840751000E-5
1.419423333E+9	2.838090000E-5
1.419426667E+9	2.919544000E-5
1.419430000E+9	3.051829000E-5
1.419433333E+9	2.961307000E-5
1.419436667E+9	3.048792000E-5
1.419440000E+9	2.870554000E-5
1.419443333E+9	2.968146000E-5
1.419446667E+9	3.344582000E-5
1.419450000E+9	3.282317000E-5
1.419453333E+9	3.343786000E-5
1.419456667E+9	2.846497000E-5
1.419460000E+9	2.833175000E-5
1.419463333E+9	2.924261000E-5
1.419466667E+9	2.865184000E-5
1.419470000E+9	2.915745000E-5
1.419473333E+9	2.908723000E-5
1.419476667E+9	2.889517000E-5
1.419480000E+9	2.843424000E-5
1.419483333E+9	2.779535000E-5
1.419486667E+9	2.839735000E-5
1.419490000E+9	2.862990000E-5
1.419493333E+9	2.777390000E-5
1.419496667E+9	2.792017000E-5
1.419500000E+9	2.863491000E-5
1.419503333E+9	2.940993000E-5
1.419506667E+9	2.804580000E-5
1.419510000E+9	2.808322000E-5
1.419513333E+9	2.834602000E-5
1.419516667E+9	2.906522000E-5
1.419520000E+9	2.813107000E-5
1.419523333E+9	2.799566000E-5
1.419526667E+9	2.776678000E-5
1.419530000E+9	2.799364000E-5
1.419533333E+9	2.925469000E-5
1.419536667E+9	2.949784000E-5
1.419540000E+9	2.841592000E-5
1.419543333E+9	2.903868000E-5
1.419546667E+9	2.853345000E-5
1.419550000E+9	2.867370000E-5
1.419553333E+9	2.850826000E-5
1.419556667E+9	2.844300000E-5
1.419560000E+9	2.826044000E-5
1.419563333E+9	2.859226000E-5
1.419566667E+9	2.841026000E-5
1.419570000E+9	2.846756000E-5
1.419573333E+9	2.873305000E-5
1.419576667E+9	2.788660000E-5
1.419580000E+9	2.881890000E-5
1.419583333E+9	2.839029000E-5
1.419586667E+9	2.808929000E-5
1.419590000E+9	2.919735000E-5
1.419593333E+9	2.942711000E-5
1.419596667E+9	2.839685000E-5
1.419600000E+9	2.830173000E-5
1.419603333E+9	2.966545000E-5
1.419606667E+9	2.948895000E-5
1.419610000E+9	2.939333000E-5
1.419613333E+9	2.859542000E-5
1.419616667E+9	2.791337000E-5
1.419620000E+9	2.896940000E-5
1.419623333E+9	2.906030000E-5
1.419626667E+9	2.888114000E-5
1.419630000E+9	2.899495000E-5
1.419633333E+9	2.809446000E-5
1.419636667E+9	2.819710000E-5
1.419640000E+9	2.922646000E-5
1.419643333E+9	2.806822000E-5
1.419646667E+9	2.843179000E-5
1.419650000E+9	2.834086000E-5
1.419653333E+9	2.901080000E-5
1.419656667E+9	2.901642000E-5
1.419660000E+9	2.849734000E-5
1.419663333E+9	2.819717000E-5
1.419666667E+9	2.794103000E-5
1.419670000E+9	2.863751000E-5
1.419673333E+9	2.943713000E-5
1.419676667E+9	2.854802000E-5
1.419680000E+9	2.815123000E-5
1.419683333E+9	2.756656000E-5
1.419686667E+9	2.746910000E-5
1.419690000E+9	2.878886000E-5
1.419693333E+9	2.868884000E-5
1.419696667E+9	2.816962000E-5
1.419700000E+9	2.929897000E-5
1.419703333E+9	2.894387000E-5
1.419706667E+9	2.830215000E-5
1.419710000E+9	2.793508000E-5
1.419713333E+9	2.883316000E-5
1.419716667E+9	2.822862000E-5
1.419720000E+9	2.977040000E-5
1.419723333E+9	3.141137000E-5
1.419726667E+9	2.905725000E-5
1.419730000E+9	2.997112000E-5
1.419733333E+9	2.864927000E-5
1.419736667E+9	2.956622000E-5
1.419740000E+9	3.368259000E-5
1.419743333E+9	3.280880000E-5
1.419746667E+9	3.382884000E-5
1.419750000E+9	2.869987000E-5
1.419753333E+9	2.913305000E-5
1.419756667E+9	2.928943000E-5
1.419760000E+9	2.847225000E-5
1.419763333E+9	2.836241000E-5
1.419766667E+9	2.858688000E-5
1.419770000E+9	2.859726000E-5
1.419773333E+9	2.953322000E-5
1.419776667E+9	2.778676000E-5
1.419780000E+9	2.862988000E-5
1.419783333E+9	2.839778000E-5
1.419786667E+9	2.851553000E-5
1.419790000E+9	2.852389000E-5
1.419793333E+9	2.848235000E-5
1.419796667E+9	2.806814000E-5
1.419800000E+9	2.856303000E-5
1.419803333E+9	2.794541000E-5
1.419806667E+9	2.814683000E-5
1.419810000E+9	2.840983000E-5
1.419813333E+9	2.897063000E-5
1.419816667E+9	2.846410000E-5
1.419820000E+9	2.931252000E-5
1.419823333E+9	2.892693000E-5
1.419826667E+9	2.807721000E-5
1.419830000E+9	2.891731000E-5
1.419833333E+9	2.851232000E-5
1.419836667E+9	2.881518000E-5
1.419840000E+9	2.904915000E-5
1.419843333E+9	2.894847000E-5
1.419846667E+9	2.810621000E-5
1.419850000E+9	2.782705000E-5
1.419853333E+9	2.838148000E-5
1.419856667E+9	2.803343000E-5
1.419860000E+9	2.851177000E-5
1.419863333E+9	2.822677000E-5
1.419866667E+9	2.877906000E-5
1.419870000E+9	2.932758000E-5
1.419873333E+9	2.917362000E-5
1.419876667E+9	2.814951000E-5
1.419880000E+9	2.848200000E-5
1.419883333E+9	2.851972000E-5
1.419886667E+9	2.830672000E-5
1.419890000E+9	2.817589000E-5
1.419893333E+9	2.906797000E-5
1.419896667E+9	2.754911000E-5
1.419900000E+9	2.791663000E-5
1.419903333E+9	2.825603000E-5
1.419906667E+9	2.818019000E-5
1.419910000E+9	2.876753000E-5
1.419913333E+9	2.815447000E-5
1.419916667E+9	2.834113000E-5
1.419920000E+9	2.868471000E-5
1.419923333E+9	2.884012000E-5
1.419926667E+9	2.862435000E-5
1.419930000E+9	2.823464000E-5
1.419933333E+9	2.828331000E-5
1.419936667E+9	2.895761000E-5
1.419940000E+9	2.871138000E-5
1.419943333E+9	2.856221000E-5
1.419946667E+9	2.902503000E-5
1.419950000E+9	2.874537000E-5
1.419953333E+9	2.838168000E-5
1.419956667E+9	2.788468000E-5
1.419960000E+9	2.873773000E-5
1.419963333E+9	2.797517000E-5
1.419966667E+9	2.809443000E-5
1.419970000E+9	2.833343000E-5
1.419973333E+9	2.792855000E-5
1.419976667E+9	2.838262000E-5
1.419980000E+9	2.931549000E-5
1.419983333E+9	2.899367000E-5
1.419986667E+9	2.851431000E-5
1.419990000E+9	2.828945000E-5
1.419993333E+9	2.868129000E-5
1.419996667E+9	2.894487000E-5
1.420000000E+9	2.830868000E-5
1.420003333E+9	2.751582000E-5
1.420006667E+9	2.862748000E-5
1.420010000E+9	2.919459000E-5
1.420013333E+9	2.930078000E-5
1.420016667E+9	2.949656000E-5
1.420020000E+9	2.855989000E-5
1.420023333E+9	2.943752000E-5
1.420026667E+9	2.917316000E-5
1.420030000E+9	2.905799000E-5
1.420033333E+9	3.165350000E-5
1.420036667E+9	3.075835000E-5
1.420040000E+9	3.255975000E-5
1.420043333E+9	2.825811000E-5
1.420046667E+9	2.910486000E-5
1.420050000E+9	2.829868000E-5
1.420053333E+9	2.859654000E-5
1.420056667E+9	2.846290000E-5
1.420060000E+9	2.729588000E-5
1.420063333E+9	2.779265000E-5
1.420066667E+9	2.793982000E-5
1.420070000E+9	2.762689000E-5
1.420073333E+9	2.866132000E-5
1.420076667E+9	2.914328000E-5
1.420080000E+9	2.826443000E-5
1.420083333E+9	2.841060000E-5
1.420086667E+9	2.886809000E-5
1.420090000E+9	2.846824000E-5
1.420093333E+9	2.866132000E-5
1.420096667E+9	2.829470000E-5
1.420100000E+9	2.764553000E-5
1.420103333E+9	2.831124000E-5
1.420106667E+9	2.870467000E-5
1.420110000E+9	2.855089000E-5
1.420113333E+9	2.830268000E-5
1.420116667E+9	2.910371000E-5
1.420120000E+9	2.793466000E-5
1.420123333E+9	2.891378000E-5
1.420126667E+9	2.825251000E-5
1.420130000E+9	2.841784000E-5
1.420133333E+9	2.792847000E-5
1.420136667E+9	2.762148000E-5
1.420140000E+9	2.850919000E-5
1.420143333E+9	2.892156000E-5
1.420146667E+9	2.870173000E-5
1.420150000E+9	2.838536000E-5
1.420153333E+9	2.789249000E-5
1.420156667E+9	2.852112000E-5
1.420160000E+9	2.811193000E-5
1.420163333E+9	2.834838000E-5
1.420166667E+9	2.839444000E-5
1.420170000E+9	2.928831000E-5
1.420173333E+9	2.832199000E-5
1.420176667E+9	2.773408000E-5
1.420180000E+9	2.760649000E-5
1.420183333E+9	2.789739000E-5
1.420186667E+9	3.007132000E-5
1.420190000E+9	2.852221000E-5
1.420193333E+9	2.883836000E-5
1.420196667E+9	2.845274000E-5
1.420200000E+9	2.840811000E-5
1.420203333E+9	2.814600000E-5
1.420206667E+9	2.781718000E-5
1.420210000E+9	2.797734000E-5
1.420213333E+9	2.858996000E-5
1.420216667E+9	2.826492000E-5
1.420220000E+9	2.819909000E-5
1.420223333E+9	2.924065000E-5
1.420226667E+9	2.902332000E-5
1.420230000E+9	2.768183000E-5
1.420233333E+9	2.769175000E-5
1.420236667E+9	2.866319000E-5
1.420240000E+9	2.752876000E-5
1.420243333E+9	2.873682000E-5
1.420246667E+9	2.881221000E-5
1.420250000E+9	2.877991000E-5
1.420253333E+9	2.896202000E-5
1.420256667E+9	2.898717000E-5
1.420260000E+9	2.938946000E-5
1.420263333E+9	2.817861000E-5
1.420266667E+9	2.873823000E-5
1.420270000E+9	2.771634000E-5
1.420273333E+9	2.851353000E-5
1.420276667E+9	2.829778000E-5
1.420280000E+9	2.916875000E-5
1.420283333E+9	2.846998000E-5
1.420286667E+9	2.850311000E-5
1.420290000E+9	2.795184000E-5
1.420293333E+9	2.820741000E-5
1.420296667E+9	2.837730000E-5
1.420300000E+9	2.819395000E-5
1.420303333E+9	2.911485000E-5
1.420306667E+9	3.044173000E-5
1.420310000E+9	2.920180000E-5
1.420313333E+9	2.921410000E-5
1.420316667E+9	2.943848000E-5
1.420320000E+9	2.816891000E-5
1.420323333E+9	2.930971000E-5
1.420326667E+9	3.170886000E-5
1.420330000E+9	3.092793000E-5
1.420333333E+9	3.306919000E-5
1.420336667E+9	2.860936000E-5
1.420340000E+9	2.868290000E-5
1.420343333E+9	2.900677000E-5
1.420346667E+9	2.792304000E-5
1.420350000E+9	2.870268000E-5
1.420353333E+9	2.918022000E-5
1.420356667E+9	2.878800000E-5
1.420360000E+9	2.823515000E-5
1.420363333E+9	2.914246000E-5
1.420366667E+9	2.850684000E-5
1.420370000E+9	2.823212000E-5
1.420373333E+9	2.860892000E-5
1.420376667E+9	2.856474000E-5
1.420380000E+9	2.911994000E-5
1.420383333E+9	2.802006000E-5
1.420386667E+9	2.898294000E-5
1.420390000E+9	2.863415000E-5
1.420393333E+9	2.876185000E-5
1.420396667E+9	2.870364000E-5
1.420400000E+9	2.931360000E-5
1.420403333E+9	2.901531000E-5
1.420406667E+9	2.840885000E-5
1.420410000E+9	2.858136000E-5
1.420413333E+9	2.859270000E-5
1.420416667E+9	2.907446000E-5
1.420420000E+9	2.971439000E-5
1.420423333E+9	2.817797000E-5
1.420426667E+9	2.825106000E-5
1.420430000E+9	2.835105000E-5
1.420433333E+9	2.837875000E-5
1.420436667E+9	2.813739000E-5
1.420440000E+9	2.859070000E-5
1.420443333E+9	2.810110000E-5
1.420446667E+9	2.855064000E-5
1.420450000E+9	2.862857000E-5
1.420453333E+9	2.878784000E-5
1.420456667E+9	2.861547000E-5
1.420460000E+9	2.836666000E-5
1.420463333E+9	2.847350000E-5
1.420466667E+9	2.826226000E-5
1.420470000E+9	2.864743000E-5
1.420473333E+9	2.864970000E-5
1.420476667E+9	2.854633000E-5
1.420480000E+9	2.875251000E-5
1.420483333E+9	2.848808000E-5
1.420486667E+9	2.864090000E-5
1.420490000E+9	2.896005000E-5
1.420493333E+9	2.817626000E-5
1.420496667E+9	2.921588000E-5
1.420500000E+9	2.836064000E-5
1.420503333E+9	2.874177000E-5
1.420506667E+9	2.875734000E-5
1.420510000E+9	2.810585000E-5
1.420513333E+9	2.905586000E-5
1.420516667E+9	2.764927000E-5
1.420520000E+9	2.863655000E-5
1.420523333E+9	2.945344000E-5
1.420526667E+9	2.932534000E-5
1.420530000E+9	2.900854000E-5
1.420533333E+9	2.903231000E-5
1.420536667E+9	2.900031000E-5
1.420540000E+9	2.820176000E-5
1.420543333E+9	2.846390000E-5
1.420546667E+9	2.876465000E-5
1.420550000E+9	2.841061000E-5
1.420553333E+9	2.832023000E-5
1.420556667E+9	2.847859000E-5
1.420560000E+9	2.838728000E-5
1.420563333E+9	2.850034000E-5
1.420566667E+9	2.853734000E-5
1.420570000E+9	2.836041000E-5
1.420573333E+9	2.884559000E-5
1.420576667E+9	2.824938000E-5
1.420580000E+9	2.883142000E-5
1.420583333E+9	2.800871000E-5
1.420586667E+9	2.808461000E-5
1.420590000E+9	2.895341000E-5
1.420593333E+9	2.809585000E-5
1.420596667E+9	2.815809000E-5
1.420600000E+9	3.076667000E-5
1.420603333E+9	2.906371000E-5
1.420606667E+9	2.986653000E-5
1.420610000E+9	3.010859000E-5
1.420613333E+9	2.881389000E-5
1.420616667E+9	3.003941000E-5
1.420620000E+9	3.426469000E-5
1.420623333E+9	3.323835000E-5
1.420626667E+9	3.335171000E-5
1.420630000E+9	2.863098000E-5
1.420633333E+9	2.869848000E-5
1.420636667E+9	2.873166000E-5
1.420640000E+9	2.894859000E-5
1.420643333E+9	2.761704000E-5
1.420646667E+9	2.850140000E-5
1.420650000E+9	2.787221000E-5
1.420653333E+9	2.873378000E-5
1.420656667E+9	2.886541000E-5
1.420660000E+9	2.771117000E-5
1.420663333E+9	2.802182000E-5
1.420666667E+9	2.895104000E-5
1.420670000E+9	2.846325000E-5
1.420673333E+9	2.834988000E-5
1.420676667E+9	2.872730000E-5
1.420680000E+9	2.872323000E-5
1.420683333E+9	2.930093000E-5
1.420686667E+9	2.770218000E-5
1.420690000E+9	2.787436000E-5
1.420693333E+9	2.812784000E-5
1.420696667E+9	2.915841000E-5
1.420700000E+9	2.877501000E-5
1.420703333E+9	2.872406000E-5
1.420706667E+9	2.815937000E-5
1.420710000E+9	2.761137000E-5
1.420713333E+9	2.863977000E-5
1.420716667E+9	2.860251000E-5
1.420720000E+9	2.917801000E-5
1.420723333E+9	2.793025000E-5
1.420726667E+9	2.847145000E-5
1.420730000E+9	2.925612000E-5
1.420733333E+9	2.768475000E-5
1.420736667E+9	2.778320000E-5
1.420740000E+9	2.823935000E-5
1.420743333E+9	2.792939000E-5
1.420746667E+9	2.990225000E-5
1.420750000E+9	2.893172000E-5
1.420753333E+9	2.843787000E-5
1.420756667E+9	2.858162000E-5
1.420760000E+9	2.833984000E-5
1.420763333E+9	2.813255000E-5
1.420766667E+9	2.819702000E-5
1.420770000E+9	2.865218000E-5
1.420773333E+9	2.785059000E-5
1.420776667E+9	2.768423000E-5
1.420780000E+9	2.751032000E-5
1.420783333E+9	2.861679000E-5
1.420786667E+9	2.904217000E-5
1.420790000E+9	2.810177000E-5
1.420793333E+9	2.877652000E-5
1.420796667E+9	2.904489000E-5
1.420800000E+9	2.795787000E-5
1.420803333E+9	2.843787000E-5
1.420806667E+9	2.830895000E-5
1.420810000E+9	2.851396000E-5
1.420813333E+9	2.811883000E-5
1.420816667E+9	2.847924000E-5
1.420820000E+9	2.784823000E-5
1.420823333E+9	2.908686000E-5
1.420826667E+9	2.879801000E-5
1.420830000E+9	2.855322000E-5
1.420833333E+9	2.787609000E-5
1.420836667E+9	2.892084000E-5
1.420840000E+9	2.797953000E-5
1.420843333E+9	2.820127000E-5
1.420846667E+9	2.880326000E-5
1.420850000E+9	2.858213000E-5
1.420853333E+9	2.803377000E-5
1.420856667E+9	2.824952000E-5
1.420860000E+9	2.806953000E-5
1.420863333E+9	3.045106000E-5
1.420866667E+9	2.920152000E-5
1.420870000E+9	2.769591000E-5
1.420873333E+9	2.789712000E-5
1.420876667E+9	2.977991000E-5
1.420880000E+9	2.766617000E-5
1.420883333E+9	2.899050000E-5
1.420886667E+9	2.838615000E-5
