Frequency, Hz	Amplitude, Volts
1.419400000E+9	3.288739000E-5
1.419403333E+9	3.267379000E-5
1.419406667E+9	3.203560000E-5
1.419410000E+9	3.181009000E-5
1.419413333E+9	3.323060000E-5
1.419416667E+9	3.378607000E-5
1.419420000E+9	3.279260000E-5
1.419423333E+9	3.246216000E-5
1.419426667E+9	3.323834000E-5
1.419430000E+9	3.309335000E-5
1.419433333E+9	3.347164000E-5
1.419436667E+9	3.538430000E-5
1.419440000E+9	3.256801000E-5
1.419443333E+9	3.571937000E-5
1.419446667E+9	3.375155000E-5
1.419450000E+9	3.413935000E-5
1.419453333E+9	4.314906000E-5
1.419456667E+9	3.416490000E-5
1.419460000E+9	3.296125000E-5
1.419463333E+9	3.293610000E-5
1.419466667E+9	3.291656000E-5
1.419470000E+9	3.301726000E-5
1.419473333E+9	3.289082000E-5
1.419476667E+9	3.281703000E-5
1.419480000E+9	3.309282000E-5
1.419483333E+9	3.267507000E-5
1.419486667E+9	3.361298000E-5
1.419490000E+9	3.304643000E-5
1.419493333E+9	3.295816000E-5
1.419496667E+9	3.256630000E-5
1.419500000E+9	3.233602000E-5
1.419503333E+9	3.202701000E-5
1.419506667E+9	3.339783000E-5
1.419510000E+9	3.236597000E-5
1.419513333E+9	3.319012000E-5
1.419516667E+9	3.311800000E-5
1.419520000E+9	3.239614000E-5
1.419523333E+9	3.283167000E-5
1.419526667E+9	3.297478000E-5
1.419530000E+9	3.312663000E-5
1.419533333E+9	3.316034000E-5
1.419536667E+9	3.386176000E-5
1.419540000E+9	3.372393000E-5
1.419543333E+9	3.261745000E-5
1.419546667E+9	3.238826000E-5
1.419550000E+9	3.286020000E-5
1.419553333E+9	3.261535000E-5
1.419556667E+9	3.273313000E-5
1.419560000E+9	3.247925000E-5
1.419563333E+9	3.364787000E-5
1.419566667E+9	3.237768000E-5
1.419570000E+9	3.337291000E-5
1.419573333E+9	3.252016000E-5
1.419576667E+9	3.231996000E-5
1.419580000E+9	3.254119000E-5
1.419583333E+9	3.194647000E-5
1.419586667E+9	3.376915000E-5
1.419590000E+9	3.236151000E-5
1.419593333E+9	3.385654000E-5
1.419596667E+9	3.337933000E-5
1.419600000E+9	3.426140000E-5
1.419603333E+9	3.405613000E-5
1.419606667E+9	3.352080000E-5
1.419610000E+9	3.244544000E-5
1.419613333E+9	3.234641000E-5
1.419616667E+9	3.232389000E-5
1.419620000E+9	3.245034000E-5
1.419623333E+9	3.252432000E-5
1.419626667E+9	3.298682000E-5
1.419630000E+9	3.314625000E-5
1.419633333E+9	3.358396000E-5
1.419636667E+9	3.260573000E-5
1.419640000E+9	3.191665000E-5
1.419643333E+9	3.260667000E-5
1.419646667E+9	3.200945000E-5
1.419650000E+9	3.329459000E-5
1.419653333E+9	3.373620000E-5
1.419656667E+9	3.226795000E-5
1.419660000E+9	3.281905000E-5
1.419663333E+9	3.259516000E-5
1.419666667E+9	3.322407000E-5
1.419670000E+9	3.414027000E-5
1.419673333E+9	3.347261000E-5
1.419676667E+9	3.239946000E-5
1.419680000E+9	3.300480000E-5
1.419683333E+9	3.286372000E-5
1.419686667E+9	3.303854000E-5
1.419690000E+9	3.405210000E-5
1.419693333E+9	3.269348000E-5
1.419696667E+9	3.311392000E-5
1.419700000E+9	3.366260000E-5
