Frequency, Hz	Amplitude, Volts
1.419400000E+9	4.354599000E-5
1.419403333E+9	4.198397000E-5
1.419406667E+9	4.166546000E-5
1.419410000E+9	4.096521000E-5
1.419413333E+9	4.346585000E-5
1.419416667E+9	4.301795000E-5
1.419420000E+9	4.299375000E-5
1.419423333E+9	4.445785000E-5
1.419426667E+9	4.477441000E-5
1.419430000E+9	4.349800000E-5
1.419433333E+9	4.202234000E-5
1.419436667E+9	4.389106000E-5
1.419440000E+9	4.139302000E-5
1.419443333E+9	4.584444000E-5
1.419446667E+9	4.564079000E-5
1.419450000E+9	4.462457000E-5
1.419453333E+9	4.440274000E-5
1.419456667E+9	4.284753000E-5
1.419460000E+9	4.335697000E-5
1.419463333E+9	4.238239000E-5
1.419466667E+9	4.226343000E-5
1.419470000E+9	4.318359000E-5
1.419473333E+9	4.466813000E-5
1.419476667E+9	4.373310000E-5
1.419480000E+9	4.053143000E-5
1.419483333E+9	4.266101000E-5
1.419486667E+9	4.262091000E-5
1.419490000E+9	4.248518000E-5
1.419493333E+9	4.366599000E-5
1.419496667E+9	4.353340000E-5
1.419500000E+9	4.223410000E-5
1.419503333E+9	4.543629000E-5
1.419506667E+9	4.232686000E-5
1.419510000E+9	4.265270000E-5
1.419513333E+9	4.320272000E-5
1.419516667E+9	4.317010000E-5
1.419520000E+9	4.251498000E-5
1.419523333E+9	4.294033000E-5
1.419526667E+9	4.126748000E-5
1.419530000E+9	4.371069000E-5
1.419533333E+9	4.375144000E-5
1.419536667E+9	4.140800000E-5
1.419540000E+9	4.288324000E-5
1.419543333E+9	4.078354000E-5
1.419546667E+9	4.371156000E-5
1.419550000E+9	4.256482000E-5
1.419553333E+9	3.968121000E-5
1.419556667E+9	4.230300000E-5
1.419560000E+9	4.297874000E-5
1.419563333E+9	4.240038000E-5
1.419566667E+9	4.199227000E-5
1.419570000E+9	4.446757000E-5
1.419573333E+9	4.117308000E-5
1.419576667E+9	4.100736000E-5
1.419580000E+9	4.239140000E-5
1.419583333E+9	4.271102000E-5
1.419586667E+9	4.283695000E-5
1.419590000E+9	4.180962000E-5
1.419593333E+9	4.385740000E-5
1.419596667E+9	4.194110000E-5
1.419600000E+9	4.300886000E-5
1.419603333E+9	4.265398000E-5
1.419606667E+9	4.180907000E-5
1.419610000E+9	4.218403000E-5
1.419613333E+9	4.281546000E-5
1.419616667E+9	4.358077000E-5
1.419620000E+9	4.224050000E-5
1.419623333E+9	4.180158000E-5
1.419626667E+9	4.216671000E-5
1.419630000E+9	4.285079000E-5
1.419633333E+9	4.214438000E-5
1.419636667E+9	4.268187000E-5
1.419640000E+9	4.145287000E-5
1.419643333E+9	4.402038000E-5
1.419646667E+9	4.324642000E-5
1.419650000E+9	4.422948000E-5
1.419653333E+9	4.269680000E-5
1.419656667E+9	4.258633000E-5
1.419660000E+9	4.254952000E-5
1.419663333E+9	4.240861000E-5
1.419666667E+9	4.265622000E-5
1.419670000E+9	4.391401000E-5
1.419673333E+9	4.422274000E-5
1.419676667E+9	4.387069000E-5
1.419680000E+9	4.193582000E-5
1.419683333E+9	4.347803000E-5
1.419686667E+9	4.258578000E-5
1.419690000E+9	4.291869000E-5
1.419693333E+9	4.300323000E-5
1.419696667E+9	4.390012000E-5
1.419700000E+9	4.345704000E-5
1.419703333E+9	4.188095000E-5
1.419706667E+9	4.269707000E-5
1.419710000E+9	4.472067000E-5
1.419713333E+9	4.573898000E-5
